 1 a     15 56 32.53 54 43 35.9  1.003 18.34 18.23 18.05 18.21 18.25                     9.51 0.03
 2       15 57 26.63 55 07 40.9  1.383 19.01 18.88 18.80 18.79 18.78 0.42      1.03 0.01
 3 a     15 58 54.96 54 28 36.2  1.085 19.31 19.26 19.08 19.22 19.25                     1.04 0.02
 4 b,c   15 59 36.13 54 42 03.8  0.308 18.60 18.46 18.29 18.40 17.89 1.16 1.44 2.11 0.01 3.27 0.01 13.7  0.02
 5       16 00 04.33 55 04 29.9  1.983 18.97 18.85 18.81 18.78 18.70 0.20 0.33 0.62 0.01 1.02 0.01  3.27 0.02
 6       16 00 15.68 55 22 59.9  0.673 18.96 18.56 18.55 18.42 18.35 0.88 1.16 1.48 0.01 2.01 0.01  4.29 0.02
 7       16 01 00.07 55 11 04.8  1.218 19.44 19.45 19.13 19.21 19.38 0.25 0.34 0.45 0.01 0.57 0.01  1.37 0.02
 8       16 01 28.54 54 45 21.3  0.728 18.42 18.16 18.09 18.07 18.02 1.28 1.88 2.77 0.02 3.83 0.01 12.1  0.02
 9 a     16 01 39.49 54 11 13.1  2.167 19.58 19.30 19.28 19.18 18.95      0.16           0.48 0.01  1.07 0.02
10       16 02 30.02 54 36 58.5  1.327 18.92 18.70 18.42 18.42 18.51 0.39 0.63 1.08 0.01 1.46 0.01  4.59 0.02
11       16 02 44.29 54 45 17.8  1.480 19.38 19.30 19.20 19.10 19.08 0.18 0.26 0.40 0.01 0.58 0.01  1.80 0.02
12 d     16 02 50.95 54 50 57.9  1.197 19.69 19.56 19.22 19.19 19.20 0.27 0.41 0.68 0.01 1.06 0.01  3.80 0.02
13       16 03 01.86 54 55 43.6  1.926 19.70 19.26 19.11 18.78 18.54 0.19 0.25 0.40 0.01 0.59 0.01  1.39 0.02
14       16 03 41.44 54 15 01.5  0.581 19.63 19.29 19.32 19.20 19.15 0.35 0.39 0.50 0.01 0.58 0.01  1.13 0.02
15       16 04 29.01 54 43 33.9  1.265 19.17 18.79 18.41 18.38 18.40 0.39 0.54 0.76 0.01 1.06 0.01  1.89 0.02
16       16 04 50.72 54 15 40.4  2.413 21.16 20.20 20.06 19.74 19.22 0.13 0.13 0.20 0.01 0.30 0.01  0.49 0.02
17 d,e   16 05 23.10 54 56 13.3  0.572 19.17 18.86 18.92 18.77 18.82 0.72 0.96 1.43 0.01 1.76 0.01  4.49 0.02
18 b,c,e 16 05 46.11 54 39 09.8  0.245 19.16 18.94 18.58 18.38 18.23 0.54 0.55 0.67 0.01 0.73 0.01  1.13 0.02
19 f     16 06 23.56 54 05 55.8  0.876 17.95 17.68 17.62 17.68 17.65 0.92 1.22 1.79 0.01 2.38 0.01  7.33 0.02
20 d     16 06 30.60 54 20 07.5  0.820 19.03 18.77 18.73 18.83 18.61 0.76 1.07 1.59 0.01 2.21 0.01  5.23 0.02
21 d     16 06 37.88 53 50 08.4  2.943 21.68 19.99 19.76 19.45 19.33 0.12 0.17 0.30 0.01 0.70 0.01  2.99 0.02
22 b     16 06 55.34 53 40 16.8  0.214 18.91 18.75 18.26 17.88 17.92 1.50 1.65 2.09 0.01 2.87 0.01 13.8  0.02
23 b     16 07 05.16 53 35 58.5  3.653 23.61 19.35 18.15 18.14 17.98 0.40 0.40 0.66 0.01 1.33 0.01  5.89 0.02
24       16 08 28.32 53 52 51.9  2.960 25.83 21.25 20.44 19.80 19.62 0.12 0.11 0.14 0.01 0.17 0.01  0.61 0.02
25       16 08 56.78 54 03 13.7  1.917 19.29 19.25 19.23 19.28 18.94 0.20 0.25 0.39 0.01 0.60 0.01  1.34 0.02
26 g     16 09 08.95 53 31 53.2  0.816 19.05 18.50 18.48 18.68 18.49 0.66 0.78 1.13 0.01 1.44 0.01
27 c     16 09 13.18 53 54 29.5  0.992 18.63 18.34 18.04 18.00 18.01 0.62 0.68 0.96 0.01 1.34 0.01  5.65 0.03
28 g     16 09 43.67 53 30 41.0  1.328 19.42 19.01 18.54 18.39 18.30 0.59 0.98 1.37 0.01 2.00 0.01
29 g     16 09 50.72 53 29 09.5  1.716 18.15 18.04 18.04 17.86 17.79 0.58 0.97 1.74 0.01 2.89 0.01
30 g,h   16 09 53.02 53 34 43.8  1.212 18.10 17.96 17.83 17.89 17.97 0.69 1.06 1.75 0.01 2.49 0.01
31 d     16 10 07.11 53 58 14.0  2.030 18.99 18.92 18.85 18.77 18.56 0.19 0.26 0.52 0.01 0.93 0.01  3.26 0.03
32       16 10 57.70 53 19 46.2  1.576 19.61 19.42 19.25 18.99 19.07 0.17 0.25 0.48 0.01 0.78 0.01  2.35 0.03
33       16 12 15.12 53 12 47.7  1.300 19.61 19.39 18.95 18.89 18.86 0.59 0.98 1.45 0.01 2.16 0.01  4.38 0.02
34 b     16 12 38.27 53 22 55.0  2.138 17.92 17.82 17.82 17.72 17.48 0.41 0.49 0.82 0.01 1.30 0.01  3.56 0.02
35       16 13 38.23 53 13 51.5  1.304 18.49 18.53 18.27 18.29 18.41 0.32 0.45 0.68 0.01 1.03 0.01  3.72 0.02
